id,gaussian,gamma,uniform
a,-1.2070657493854209,0.9889997024516968,0.22484576399438083
b,0.27742924211066,0.038133856480998776,0.08498473768122494
c,1.084441176683056,1.0946233539455752,0.6372982596512884
d,-2.3456977026293493,1.4930110073276157,0.4310163704212755
e,0.42912468881105,5.403612480613314,0.07271609362214804
f,0.506055892157574,1.7238653939780624,0.8024020192679018
g,-0.5747399601346488,1.9535713295057513,0.3252783033531159
h,-0.546631855784187,0.07807803125928617,0.7572890350129455
i,-0.564451999093283,0.2119819434892726,0.5842715173494071
j,-0.8900378290441038,0.2080367284684981,0.7088394067250192
k,-0.477192699753547,2.0860786234977042,0.4269757664296776
l,-0.998386444859704,0.4946370837448587,0.34357270202599466
m,-0.77625389463799,0.7717130461703308,0.7591199851594865
n,0.06445881727626934,0.37216648266245805,0.42403020802885294
o,0.9594940589707713,1.8820799128111156,0.5608872538432479
p,-0.1102854943907743,0.7662256824021656,0.11613577441312373
q,-0.5110095058066422,0.5048858506093786,0.30302179767750204
r,-0.9111954166298112,0.2297979094881651,0.4788026858586818
s,-0.8371716802689395,0.7563727461456436,0.3448305467609316
t,2.415835178489341,0.6243596856409559,0.6007141401059926
u,0.1340882201520312,0.6463837313308791,0.07608332321979105
v,-0.4906858966909428,0.11247545245152374,0.9559926111251116
w,-0.44054787235322707,0.11924306570386918,0.0222068231087178
x,0.45958944100585364,4.918055350416988,0.8417106324341148
y,-0.6937202469374755,0.6028266573692973,0.6324424487538636
z,-1.448204910386472,0.64446571346581,0.31009416515007615
